0 1 2 3 4 5 6 7 
0 1 2 3 4 5 6 7 
0 1 2 3 4 5 6 7 
0 1 2 3 4 5 6 7 
0 1 7f 7f 7f 7f 7f 7f 
0 1 2 3 7f 7f 7f 7f 
0 4 8 5 9 6 1 d 
0 1 2 3 4 5 6 7 
0 1 2 3 4 5 6 7 
1 2 5 6 9 a 7 4 
1 5 2 3 6 d 9 0 
1 3 9 c 4 5 2 0 
0 4 8 c 5 9 6 1 
1 3 4 7 6 5 2 0 
1 3 4 6 a 7 2 5 
0 1 2 3 4 5 6 7 
12 0 4 2 8 a e 6 
0 1 2 3 4 5 e f 
0 4 8 c 10 14 18 1c 
0 1 2 3 4 5 6 7 
0 1 2 3 4 5 6 7 
0 4 8 c 10 14 18 1c 
0 2 4 6 8 d c f 
0 4 8 c 10 14 18 1c 
0 4 8 c 18 19 1c 1d 
0 4 8 c 10 14 18 1c 
0 2 4 6 9 a d e 
0 4 8 c 10 14 18 1c 
0 4 8 c 10 18 1c 14 
0 4 8 c 10 14 18 1c 
0 4 8 c 14 10 15 18 
0 4 8 c 18 10 14 1c 
0 4 8 c 18 10 14 1c 
0 4 8 c 18 10 14 1c 
