0 1 2 3 4 5 6 7 
1 0 7f 7f 7f 7f 7f 7f 
1 3 0 2 7f 7f 7f 7f 
1 3 5 6 0 4 2 7 
1 3 5 7 0 b 9 4 
1 3 5 7 9 4 b d 
0 2 4 6 9 a c b 
1 3 5 6 9 a c e 
0 1 3 4 2 e c 8 
0 2 4 8 3 1 7 e 
0 2 4 6 c 9 e a 
0 1 2 3 4 5 6 7 
1 0 3 5 7 2 9 a 
1 2 3 5 7 9 b a 
1 0 3 2 4 5 7 9 
0 3 4 7 8 2 a c 
0 2 4 6 7 9 5 3 
1 3 5 7 8 b c e 
0 1 2 3 4 5 6 7 
0 1 2 3 4 5 6 7 
0 1 2 3 4 5 6 7 
1 0 3 5 7 b 9 f 
1 2 5 7 9 b d f 
0 1 2 3 4 5 6 7 
1 3 7 5 0 b d 9 
0 2 3 4 6 1 9 a 
0 2 5 6 8 b c e 
1 3 5 7 9 b 0 d 
0 2 5 6 3 1 8 4 
0 2 5 6 9 b c e 
0 2 5 6 4 9 a 3 
1 3 4 7 9 a d e 
0 2 5 6 9 b c f 
1 3 4 7 8 a d e 
0 2 4 6 8 c e a 
0 2 4 6 8 a e 1 
1 3 5 7 9 b 0 d 
0 2 4 6 8 a d e 
1 3 5 7 9 b d f 
1 3 5 7 9 b d f 
0 2 4 6 8 a c e 
1 3 5 7 9 b 0 f 
1 3 5 7 9 b c f 
1 3 5 7 9 b d f 
0 2 4 6 8 a c e 
0 2 4 6 8 a c e 
1 3 5 7 9 b d f 
0 2 4 6 8 a c e 
1 3 5 7 9 b d f 
1 3 5 7 9 b d f 
1 3 5 7 9 b d f 
1 3 5 7 9 b d f 
0 2 4 6 8 a c e 
1 3 5 7 9 b d f 
1 3 5 7 9 b d f 
0 2 4 6 8 a c e 
0 2 4 6 8 a c e 
0 2 4 6 8 a c e 
1 3 5 7 9 b d f 
1 3 5 7 9 b d f 
